Rank,Title,Website,Email domain,
257,Bath & Body WOrks,,bathandbodyworks.com,
258,W.W. Grainger,http://www.grainger.com,grainger.com,
259,Community Health Systems,http://www.chs.net,chs.net,
260,Ball,http://www.ball.com,ball.com,
261,Berry Global Group,http://www.berryglobal.com,berryglobal.com,
262,Kinder Morgan,http://www.kindermorgan.com,kindermorgan.com,
263,VF,http://www.vfc.com,vfc.com,
264,Baxter International,http://www.baxter.com,baxter.com,
265,Textron,http://www.textron.com,textron.com,
266,LKQ,http://www.lkqcorp.com,lkqcorp.com,
267,Keurig Dr Pepper,,keurigdrpepper.com,
268,O’Reilly Automotive,http://www.oreillyauto.com,oreillyauto.com,
269,Crown Holdings,http://www.crowncork.com,crowncork.com,
270,Universal Health Services,http://www.uhsinc.com,uhsinc.com,
271,DaVita,http://www.davita.com,davita.com,
272,Xcel Energy,http://www.xcelenergy.com,xcelenergy.com,
273,Newmont Mining,http://www.newmont.com,newmont.com,
274,Vistra,http://www.vistraenergy.com,vistra.com,
275,IQVIA Holdings,,iqvia.com,
276,eBay,http://www.ebay.com,ebayinc.com,
277,Corning,http://www.corning.com,corning.com,
278,Quanta Services,http://www.quantaservices.com,quantaservices.com,
279,HF Sinclair,,hfsinclair.com,
280,Bed Bath & Beyond,http://www.bedbathandbeyond.com,bedbathandbeyond.com,
281,Uber Technologies,,uber.com,
282,Mutual of Omaha Insurance,http://www.mutualofomaha.com,mutualofomaha.com,
283,Conagra Brands,http://www.conagrabrands.com,conagrabrands.com,
284,PulteGroup,http://www.pultegroupinc.com,pultegroupinc.com,
285,EOG Resources,http://www.eogresources.com,eogresources.com,
286,Group 1 Automotive,http://www.group1auto.com,group1auto.com,
287,Ally Financial,http://www.ally.com,ally.com,
288,Fidelity National Information Services,http://www.fisglobal.com,fisglobal.com,
289,Nordstrom,http://www.nordstrom.com,nordstrom.com,
290,Discovery,http://www.discoverycommunications.com,discovery.com,
291,Tractor Supply,http://www.tractorsupply.com,tractorsupply.com,
292,CSX,http://www.csx.com,csx.com,
293,Marriott International,http://www.marriott.com,marriott.com,
294,FirstEnergy,http://www.firstenergycorp.com,firstenergycorp.com,
295,Jones Financial (Edward Jones),http://www.edwardjones.com,edwardjones.com,
